,city,room_price,image_count,adult_occupancy,child_occupancy,property_id,num_amenities,zones,descr_len,deluxe,num_simhotel,wifi,ac,breakfast,service_value,acceptance_rate,response_label,Apartment,Homestay,Hotel,House,Lodge,Resort,Spa,Villa
111,Jorhat,945.0,4.0,2.0,0.0,107166.0,4.0,2.0,7.0,0.0,0.0,1.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
112,Jammu,2334.0,11.0,1.0,2.0,10278.0,1.0,3.0,135.0,1.0,10.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
113,Kalimpong,3167.0,5.0,3.0,3.0,67034.0,1.0,2.0,130.0,0.0,4.0,0.0,0.0,0.0,1.0,100.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
114,Kanpur,1334.0,4.0,2.0,0.0,111154.0,1.0,0.0,5.0,0.0,8.0,0.0,0.0,0.0,1.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
115,Katra,1778.0,27.0,2.0,2.0,74850.0,2.0,3.0,0.0,0.0,11.0,0.0,1.0,0.0,0.0,100.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
116,Kanpur,2595.0,5.0,1.0,2.0,46812.0,2.0,0.0,121.0,1.0,11.0,0.0,1.0,0.0,0.0,100.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
117,Kalimpong,1000.0,5.0,2.0,2.0,31963.0,4.0,2.0,84.0,0.0,6.0,1.0,1.0,0.0,0.0,100.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
118,Jalpaiguri,667.0,33.0,1.0,1.0,53242.0,7.0,2.0,120.0,0.0,0.0,0.0,1.0,0.0,0.0,100.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
119,Jhansi,389.0,22.0,1.0,2.0,30842.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,100.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
120,Digha,756.0,6.0,2.0,0.0,111890.0,4.0,2.0,21.0,0.0,13.0,0.0,1.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
121,Kakinada,2394.0,12.0,1.0,1.0,64000.0,2.0,1.0,96.0,0.0,0.0,1.0,1.0,0.0,0.0,100.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
122,Jammu,4498.0,43.0,2.0,2.0,10205.0,2.0,3.0,147.0,0.0,0.0,0.0,1.0,0.0,0.0,100.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
123,Gangtok,945.0,8.0,2.0,1.0,115486.0,0.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
124,Jodhpur,1670.0,17.0,2.0,2.0,56504.0,2.0,3.0,60.0,0.0,11.0,0.0,1.0,0.0,0.0,100.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
125,Jharsuguda,473.0,4.0,2.0,2.0,59758.0,2.0,2.0,106.0,0.0,3.0,0.0,1.0,0.0,0.0,100.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
